0,1,2,3,4,5,6,7,8,9
450.91,450.91,450.91,450.91,450.91,450.91,450.91,450.91,450.91,450.91
469.2460470851306,447.70909774662834,447.8586953724961,458.7550176814592,453.71478602675074,460.00441413777037,448.2462476752809,440.62346704719937,429.58304150848164,458.85085391391357
473.81374334151917,430.78422410902306,443.6085559744727,478.3996491017348,444.99875845950044,450.73462716668763,461.1145435696652,434.0237005969792,441.01963551046083,449.48282170708666
492.9118423424086,426.93415961293135,450.1790856705312,477.901658624644,438.0475663885155,449.0790961330281,475.55842619868247,439.41245351331156,424.8709133769561,478.5776457144874
491.3813773097541,432.8173622977041,435.21501006213094,472.9312819700353,417.88481969398543,458.4309297414328,479.4839773382816,428.53028140572746,440.17967719043105,465.9996159479791
503.320422107445,436.2067158167391,431.18140398129583,493.8031866072708,404.6361378707093,455.2053374212849,466.97912598945146,422.80652440291306,452.4402388508943,466.4682142587421
475.1067281667148,427.2448851911368,412.5171545092618,479.13965718958246,399.6072173642202,452.7958204848338,435.27315524041694,423.08597117241237,447.49753379737786,484.2355577261096
454.11481242354046,435.6285415092874,400.08344924125805,472.5581149794492,400.6043287060972,423.81254886373915,436.9544468442421,454.6374754975842,449.94506819151087,482.64531883786157
451.68039031451224,431.31395351714536,389.54619705094075,472.13458519184894,394.2033117972983,421.98900382506014,439.65736399582266,447.086474649727,449.6262642049923,499.19256160747165
449.4639244526999,421.26652088981393,387.9146287666645,485.19068303981123,394.33442917252495,421.9748713418231,424.5252941532149,454.90271515583316,463.03106787269894,494.23560665755264
432.25226495833147,434.4799308077428,383.11616688153015,503.815563814157,397.6022362305328,431.44576492391377,429.89896644632677,432.05223324807827,465.1538795509692,495.76353899224983
428.5446198036679,443.3807092045045,380.12402736664035,514.6551762821441,381.52582643791305,432.6251907655098,434.8568516255692,431.23152514475635,457.9622999805412,495.6717417178146
423.8263520989785,434.26413216694016,380.34277914691813,500.3707143644799,364.70632841585615,448.87901000260575,429.00854965815387,441.97838091639454,441.966533911642,475.94166641384453
413.7342809622486,432.2122921317844,371.14911928839007,492.4005562453966,359.7854610399444,429.0170449097561,432.2409527010734,425.76807026221985,441.281560060461,474.6988566455799
413.8941828300978,418.198423598815,377.55338436921886,509.7620302675381,349.8644951077614,439.84533431008964,451.44382599051545,402.4519974966874,438.3907442799315,488.0268375012395
423.10998493234865,410.44279449533974,376.48375300281657,495.75878213589306,352.408544314253,443.16836556298273,435.23412840545706,386.43396799935164,438.9269850718723,478.0701632875362
403.6579781512637,406.5039799025746,399.2409394632056,503.93932159437935,352.2120522989003,439.3263944702607,447.8402481032843,372.0150648869041,457.8988770667398,463.16243411374876
390.34891042576197,421.8107847159862,400.80214687772605,474.1019041903196,344.25613606005203,445.1861306670261,467.14269233894424,370.45764495233146,442.2079558104078,460.61842724528134
